0036477876	781	4
0036477876	870	1
0036477876	882	4
0036477876	884	1
0036477876	865	3
0036477876	821	3
0036477876	879	3
0036477876	858	5
0036477876	848	5
0036477876	818	4
0036477877	790	4
0036477877	791	3
0036477877	781	3
0036477877	860	5
0036477877	882	4
0036477877	794	4
0036477877	795	3
0036477877	841	3
0036477877	821	3
0036477877	865	3
0036477877	799	4
0036477877	855	1
0036477877	888	1
0036477877	857	5
0036477877	824	3
0036477877	879	1
0036477877	803	4
0036477877	804	1
0036477877	838	1
0036477877	828	1
0036477878	790	2
0036477878	791	1
0036477878	873	3
0036477878	830	2
0036477878	852	1
0036477878	876	2
0036477878	833	2
0036477878	834	1
0036477878	879	1
0036477878	835	2
0036477878	837	1
0036477878	819	5
0036477878	781	2
0036477878	880	3
0036477878	882	1
0036477878	784	5
0036477878	785	5
0036477878	884	3
0036477878	786	3
0036477878	887	2
0036477878	788	1
0036477878	866	4
0036477878	801	1
0036477878	846	5
0036477878	803	1
0036477878	847	4
0036477878	826	5
0036477879	873	4
0036477879	796	3
0036477879	797	5
0036477879	818	5
0036477880	819	1
0036477880	780	3
0036477880	792	1
0036477880	880	4
0036477880	881	1
0036477880	861	3
0036477880	840	4
0036477880	822	5
0036477880	778	5
0036477880	855	5
0036477880	834	3
0036477880	779	5
0036477880	856	4
0036477880	813	1
0036477880	847	4
0036477880	858	1
0036477880	848	3
0036477881	860	2
0036477881	784	2
0036477881	884	3
0036477881	830	4
0036477881	877	2
0036477881	779	3
0036477881	804	1
0036477881	826	1
0036477881	816	4
0036477881	780	1
0036477881	791	4
0036477882	791	4
0036477882	880	2
0036477882	794	2
0036477882	860	4
0036477882	851	5
0036477882	842	1
0036477882	831	4
0036477882	865	4
0036477882	833	2
0036477882	844	4
0036477882	811	1
0036477882	867	4
0036477882	859	3
0036477882	828	1
0036477882	818	1
0036477882	829	1
0036477883	781	5
0036477883	870	4
0036477883	809	3
0036477883	850	5
0036477883	840	3
0036477883	797	4
0036477883	844	1
0036477883	800	2
0036477883	867	3
0036477883	834	2
0036477883	803	2
0036477883	818	5
0036477884	780	5
0036477884	792	4
0036477884	782	1
0036477884	830	1
0036477884	863	1
0036477884	864	4
0036477884	875	2
0036477884	832	4
0036477884	810	4
0036477884	815	1
0036477884	837	3
0036477884	839	5
0036477884	828	1
0036477885	790	2
0036477885	792	5
0036477885	782	3
0036477885	874	1
0036477885	852	5
